;ACCIMT Observatory;	ACCIMT Observatory
U54;Hume Observatory, Santa Rosa;	Hume Observatory, Santa Rosa [code U54]
U56;Palo Alto;	Palo Alto [code U56]
U57;Black Mountain Observatory, Los Altos;	Black Mountain Observatory, Los Altos [code U57]
U63;Burnt Tree Hill Observatory, Cle Elum;	Burnt Tree Hill Observatory, Cle Elum [code U63]
U64;CWU-Lind Observatory, Ellensburg;	CWU-Lind Observatory, Ellensburg [code U64]
U68;JPL SynTrack Robotic Telescope, Auberry;	JPL SynTrack Robotic Telescope, Auberry [code U68]
U69;iTelescope SRO Observatory, Auberry;	iTelescope SRO Observatory, Auberry [code U69]
U73;Redondo Beach;	Redondo Beach [code U73]
U78;Cedar Glen Observatory;	Cedar Glen Observatory [code U78]
U79;Cosmos Research Center, Encinitas;	Cosmos Research Center, Encinitas [code U79]
U80;CS3-DanHenge Observatory, Landers;	CS3-DanHenge Observatory, Landers [code U80]
U81;CS3-Trojan Station, Landers;	CS3-Trojan Station, Landers [code U81]
U82;CS3-Palmer Divide Station, Landers;	CS3-Palmer Divide Station, Landers [code U82]
U96;Athabasca University Geophysical Observatory;	Athabasca University Geophysical Observatory [code U96]
V01;Mountainville Observatory, Alpine;	Mountainville Observatory, Alpine [code V01]
V02;Command Module, Tempe;	Command Module, Tempe [code V02]
V03;Big Water;	Big Water [code V03]
V04;FRoST, Anderson Mesa;	FRoST, Anderson Mesa [code V04]
V05;Rusty Mountain Observatory, Gold Canyon;	Rusty Mountain Observatory, Gold Canyon [code V05]
V06;Catalina Sky Survey-Kuiper;	Catalina Sky Survey-Kuiper [code V06]
V07;Whipple Observatory, Mount Hopkins-PAIRITEL;	Whipple Observatory, Mount Hopkins-PAIRITEL [code V07]
V08;Mountain Creek Ranch, Vail;	Mountain Creek Ranch, Vail [code V08]
V09;Moka Observatory, Benson;	Moka Observatory, Benson [code V09]
V16;Dark Sky New Mexico, Animas;	Dark Sky New Mexico, Animas [code V16]
V23;FOAH Observatory, Magdalena;	FOAH Observatory, Magdalena [code V23]
V26;UAS-ISON Observatory, Cosala;	UAS-ISON Observatory, Cosala [code V26]
V29;Tzec Maun Cloudcroft Facility;	Tzec Maun Cloudcroft Facility [code V29]
V30;Heaven on Earth Observatory, Mayhill;	Heaven on Earth Observatory, Mayhill [code V30]
V31;Hazardous Observatory, Mayhill;	Hazardous Observatory, Mayhill [code V31]
V35;Deep Sky Observatory Collaborative, Pier 5;	Deep Sky Observatory Collaborative, Pier 5 [code V35]
V36;The Ranch Observatory, Lakewood;	The Ranch Observatory, Lakewood [code V36]
V37;McDonald Observatory-LCO ELP;	McDonald Observatory-LCO ELP [code V37]
V38;McDonald Observatory-LCO ELP Aqawan A #1;	McDonald Observatory-LCO ELP Aqawan A #1 [code V38]
V59;Millwood Observatory, Comfort;	Millwood Observatory, Comfort [code V59]
V60;Putman Mountain Observatory;	Putman Mountain Observatory [code V60]
V70;Starry Night Observatory, Columbus;	Starry Night Observatory, Columbus [code V70]
V78;Spirit Marsh Observatory. Sauk Centre;	Spirit Marsh Observatory. Sauk Centre [code V78]
V81;Fayetteville;	Fayetteville [code V81]
V83;Rolling Hills Observatory, Warrensburg;	Rolling Hills Observatory, Warrensburg [code V83]
V86;Rattle Snake Observatory, Sedalia;	Rattle Snake Observatory, Sedalia [code V86]
V88;River Ridge Observatory, Conway;	River Ridge Observatory, Conway [code V88]
W04;Mark Evans Observatory, Bloomington;	Mark Evans Observatory, Bloomington [code W04]
W08;Jimginny Observatory, Naperville;	Jimginny Observatory, Naperville [code W08]
W11;Northwest Indiana Robotic Telescope, Lowell;	Northwest Indiana Robotic Telescope, Lowell [code W11]
W14;Harvest;	Harvest [code W14]
W19;Kalamazoo;	Kalamazoo [code W19]
W22;WestRock Observatory, Columbus;	WestRock Observatory, Columbus [code W22]
W25;RMS Observatory, Cincinnati;	RMS Observatory, Cincinnati [code W25]
W28;Ex Nihilo Observatory, Winder;	Ex Nihilo Observatory, Winder [code W28]
W30;Georgia College Observatory, Milledgeville;	Georgia College Observatory, Milledgeville [code W30]
W33;Transit Dreams Observatory, Campobello;	Transit Dreams Observatory, Campobello [code W33]
W34;Squirrel Valley Observatory, Columbus;	Squirrel Valley Observatory, Columbus [code W34]
W38;Dark Sky Observatory, Boone;	Dark Sky Observatory, Boone [code W38]
W46;Foxfire Village;	Foxfire Village [code W46]
W49;CBA-MM Observatory, Mountain Meadows;	CBA-MM Observatory, Mountain Meadows [code W49]
W50;Apex;	Apex [code W50]
W54;Mark Slade Remote Observatory, Wilderness;	Mark Slade Remote Observatory, Wilderness [code W54]
W55;Natelli Observatory, Frederick;	Natelli Observatory, Frederick [code W55]
W63;Observatorio Astronomico UTP, Pereira;	Observatorio Astronomico UTP, Pereira [code W63]
W66;SVH Observatory, Blairstown;	SVH Observatory, Blairstown [code W66]
W67;Paul Robinson Observatory, Voorhees State Park;	Paul Robinson Observatory, Voorhees State Park [code W67]
W70;Loose Goose Observatory, Saint-Jerome;	Loose Goose Observatory, Saint-Jerome [code W70]
W71;Rand II Observatory, Lake Placid;	Rand II Observatory, Lake Placid [code W71]
W75;SPECULOOS-South Observatory, Paranal;	SPECULOOS-South Observatory, Paranal [code W75]
W76;CHILESCOPE Observatory, Rio Hurtad;	CHILESCOPE Observatory, Rio Hurtad [code W76]
W77;Skyledge Observatory, Killingworth;	Skyledge Observatory, Killingworth [code W77]
W78;Clay Telescope, Harvard University;	Clay Telescope, Harvard University [code W78]
W79;Cerro Tololo-LCO Aqawan B #1;	Cerro Tololo-LCO Aqawan B #1 [code W79]
W80;Westwood;	Westwood [code W80]
W81;Nebula Knoll Observatoy, East Wakefield;	Nebula Knoll Observatoy, East Wakefield [code W81]
W82;Mendel Observatory, Merrimack College;	Mendel Observatory, Merrimack College [code W82]
W83;Whitin Observatory, Wellesley;	Whitin Observatory, Wellesley [code W83]
W84;Cerro Tololo-DECam;	Cerro Tololo-DECam [code W84]
W85;Cerro Tololo-LCO A;	Cerro Tololo-LCO A [code W85]
W86;Cerro Tololo-LCO B;	Cerro Tololo-LCO B [code W86]
W87;Cerro Tololo-LCO C;	Cerro Tololo-LCO C [code W87]
W88;Slooh.com Chile Observatory, La Dehesa;	Slooh.com Chile Observatory, La Dehesa [code W88]
W89;Cerro Tololo-LCO Aqawan A #1;	Cerro Tololo-LCO Aqawan A #1 [code W89]
W90;Phillips Exeter Academy Grainger Observatory;	Phillips Exeter Academy Grainger Observatory [code W90]
W91;VHS-VISTA, Cerro Paranal;	VHS-VISTA, Cerro Paranal [code W91]
W92;MASTER-OAFA Observatory, San Juan;	MASTER-OAFA Observatory, San Juan [code W92]
W93;Korea Microlensing Telescope Network-CTIO;	Korea Microlensing Telescope Network-CTIO [code W93]
W94;AMACS1, San Pedro de Atacama;	AMACS1, San Pedro de Atacama [code W94]
W95;Observatorio Panameno, San Pedro de Atacama;	Observatorio Panameno, San Pedro de Atacama [code W95]
W96;CAO, San Pedro de Atacama (since 2013);	CAO, San Pedro de Atacama (since 2013) [code W96]
W97;Atacama Desert Observatory, San Pedro de Atacama;	Atacama Desert Observatory, San Pedro de Atacama [code W97]
W98;Polonia Observatory, San Pedro de Atacama;	Polonia Observatory, San Pedro de Atacama [code W98]
W99;SON, San Pedro de Atacama Station;	SON, San Pedro de Atacama Station [code W99]
X13;Observatorio Remoto Bosque Alegre;	Observatorio Remoto Bosque Alegre [code X13]
X14;Observatorio Orbis Tertius, Cordoba;	Observatorio Orbis Tertius, Cordoba [code X14]
X31;Galileo Galilei Observatory, Oro Verde;	Galileo Galilei Observatory, Oro Verde [code X31]
X38;Observatorio Pueyrredon, La Lonja;	Observatorio Pueyrredon, La Lonja [code X38]
X39;Observatorio Antares, Pilar;	Observatorio Antares, Pilar [code X39]
X50;Observatorio Astronomico de Montevideo;	Observatorio Astronomico de Montevideo [code X50]
X57;Polo Astronomico CMF,Foz do Iguacu;	Polo Astronomico CMF,Foz do Iguacu [code X57]
X74;Observatorio Campo dos Amarais;	Observatorio Campo dos Amarais [code X74]
X87;Dogsheaven Observatory, Brasilia;	Dogsheaven Observatory, Brasilia [code X87]
X88;Observatorio Adhara, Sorocaba;	Observatorio Adhara, Sorocaba [code X88]
Y00;SONEAR Observatory, Oliveira;	SONEAR Observatory, Oliveira [code Y00]
Y28;OASI, Nova Itacuruba;	OASI, Nova Itacuruba [code Y28]
Z17;Tenerife-LCO Aqawan A #2;	Tenerife-LCO Aqawan A #2 [code Z17]
Z18;Gran Telescopio Canarias, Roque de los Muchachos;	Gran Telescopio Canarias, Roque de los Muchachos [code Z18]
Z19;La Palma-TNG;	La Palma-TNG [code Z19]
Z20;La Palma-MERCATOR;	La Palma-MERCATOR [code Z20]
Z21;Tenerife-LCO Aqawan A #1;	Tenerife-LCO Aqawan A #1 [code Z21]
Z22;MASTER-IAC Observatory, Tenerife;	MASTER-IAC Observatory, Tenerife [code Z22]
Z26;Observatorio Astronomico Arcangel, Las Zocas;	Observatorio Astronomico Arcangel, Las Zocas [code Z26]
Z27;Observatorio Coralito, La Laguna;	Observatorio Coralito, La Laguna [code Z27]
Z32;Observatorio Astrofisico de Javalambre;	Observatorio Astrofisico de Javalambre [code Z32]
Z33;6ROADS Observatory 2, Nerpio;	6ROADS Observatory 2, Nerpio [code Z33]
Z34;NNHS Drummonds Observatory;	NNHS Drummonds Observatory [code Z34]
Z35;OAO University Observatory Station Aras;	OAO University Observatory Station Aras [code Z35]
Z36;Cancelada;	Cancelada [code Z36]
Z37;Northolt Branch Observatory 3, Blandford Forum;	Northolt Branch Observatory 3, Blandford Forum [code Z37]
Z38;Picoto Observatory, Leiria;	Picoto Observatory, Leiria [code Z38]
Z39;Observatorio Costa Teguise;	Observatorio Costa Teguise [code Z39]
Z40;El Manzanillo Observatory, Puerto de la Torre;	El Manzanillo Observatory, Puerto de la Torre [code Z40]
Z41;Irydeo Observatory, Camarma de Esteruelas;	Irydeo Observatory, Camarma de Esteruelas [code Z41]
Z42;Rushay Farm Observatory, Sturminster Newton;	Rushay Farm Observatory, Sturminster Newton [code Z42]
Z43;Landehen;	Landehen [code Z43]
Z44;Observatorio Terminus, A Coruna;	Observatorio Terminus, A Coruna [code Z44]
Z45;Cosmos Observatory, Marbella;	Cosmos Observatory, Marbella [code Z45]
Z46;Cardiff;	Cardiff [code Z46]
Z47;Runcorn;	Runcorn [code Z47]
Z48;Northolt Branch Observatory 2, Shepherd&#39;s Bush;	Northolt Branch Observatory 2, Shepherd&#39;s Bush [code Z48]
Z49;Alston Observatory;	Alston Observatory [code Z49]
Z50;Mazariegos;	Mazariegos [code Z50]
Z51;Anunaki Observatory, Rivas Vaciamadrid;	Anunaki Observatory, Rivas Vaciamadrid [code Z51]
Z52;The Studios Observatory, Grantham;	The Studios Observatory, Grantham [code Z52]
Z53;TRAPPIST-North, Oukaimeden;	TRAPPIST-North, Oukaimeden [code Z53]
Z54;Greenmoor Observatory, Woodcote;	Greenmoor Observatory, Woodcote [code Z54]
Z55;Uraniborg Observatory, Ecija;	Uraniborg Observatory, Ecija [code Z55]
Z56;Knocknaboola;	Knocknaboola [code Z56]
Z57;Observatorio Zuben, Alhaurin de la Torre;	Observatorio Zuben, Alhaurin de la Torre [code Z57]
Z58;ESA Cebreros TBT Observatory, Cebreros;	ESA Cebreros TBT Observatory, Cebreros [code Z58]
Z59;Chelford Observatory;	Chelford Observatory [code Z59]
Z60;Observatorio Zaldibia;	Observatorio Zaldibia [code Z60]
Z61;Montecanal Observatory, Zaragoza;	Montecanal Observatory, Zaragoza [code Z61]
Z62;Observatorio Forcarei;	Observatorio Forcarei [code Z62]
Z63;Skybor Observatory, Borja;	Skybor Observatory, Borja [code Z63]
Z64;Observatorio el Miron del Cielo;	Observatorio el Miron del Cielo [code Z64]
Z65;Observatorio Astronomico Corgas;	Observatorio Astronomico Corgas [code Z65]
Z66;DeSS Deimos Sky Survey, Niefla Mountain;	DeSS Deimos Sky Survey, Niefla Mountain [code Z66]
Z67;Dunboyne Castle Observatory;	Dunboyne Castle Observatory [code Z67]
Z68;Observatorio Torreaguila, Barbano;	Observatorio Torreaguila, Barbano [code Z68]
Z69;Observatorio Mazagon Huelva;	Observatorio Mazagon Huelva [code Z69]
Z70;Ponferrada;	Ponferrada [code Z70]
Z71;Observatorio Norba Caesarina, Aldea Moret;	Observatorio Norba Caesarina, Aldea Moret [code Z71]
Z72;Cademuir Observatory, Dalkey;	Cademuir Observatory, Dalkey [code Z72]
Z73;Observatorio Nuevos Horizontes, Camas;	Observatorio Nuevos Horizontes, Camas [code Z73]
Z74;Amanecer de Arrakis;	Amanecer de Arrakis [code Z74]
Z75;Observatorio Sirius, Las Lomas;	Observatorio Sirius, Las Lomas [code Z75]
Z76;Observatorio Carda, Villaviciosa;	Observatorio Carda, Villaviciosa [code Z76]
Z77;Osuna;	Osuna [code Z77]
Z78;Arroyo Observatory, Arroyo Hurtado;	Arroyo Observatory, Arroyo Hurtado [code Z78]
Z79;Calar Alto TNO Survey;	Calar Alto TNO Survey [code Z79]
Z80;Northolt Branch Observatory;	Northolt Branch Observatory [code Z80]
Z81;Observatorio Estrella de Mar;	Observatorio Estrella de Mar [code Z81]
Z82;BOOTES-2 Observatory, Algarrobo;	BOOTES-2 Observatory, Algarrobo [code Z82]
Z83;Chicharronian 3C Observatory, Tres Cantos;	Chicharronian 3C Observatory, Tres Cantos [code Z83]
Z84;Calar Alto-Schmidt;	Calar Alto-Schmidt [code Z84]
Z85;Observatorio Sierra Contraviesa;	Observatorio Sierra Contraviesa [code Z85]
Z86;St. Mellons;	St. Mellons [code Z86]
Z87;Stanley Laver Observatory, Pontesbury;	Stanley Laver Observatory, Pontesbury [code Z87]
Z88;Fosseway Observatoy, Stratton-on-the-Fosse;	Fosseway Observatoy, Stratton-on-the-Fosse [code Z88]
Z89;Macclesfield;	Macclesfield [code Z89]
Z90;Albox;	Albox [code Z90]
Z91;Curdridge;	Curdridge [code Z91]
Z92;West Park Observatory, Leeds;	West Park Observatory, Leeds [code Z92]
Z93;Observatorio Polop, Alicante;	Observatorio Polop, Alicante [code Z93]
Z94;Kempshott;	Kempshott [code Z94]
Z95;Astronomia Para Todos Remote Observatory;	Astronomia Para Todos Remote Observatory [code Z95]
Z96;Observatorio Cesaraugusto;	Observatorio Cesaraugusto [code Z96]
Z97;OPERA Observatory, Saint Palais;	OPERA Observatory, Saint Palais [code Z97]
Z98;Observatorio TRZ, Betera;	Observatorio TRZ, Betera [code Z98]
Z99;Clixby Observatory, Cleethorpes;	Clixby Observatory, Cleethorpes [code Z99]
;Angaur Island;	Angaur Island
;Antigua;	Antigua
;Ascension Island;	Ascension Island
;Babelthuap Island;	Babelthuap Island
;Bali;	Bali
;Barbados;	Barbados
;Belize City;	Belize City
;Bermuda;	Bermuda
;Brunei;	Brunei
;Christmas Island;	Christmas Island
;Cocos Island;	Cocos Island
;Diego Garcia;	Diego Garcia
;Djibouti;	Djibouti
;Gibraltar;	Gibraltar
;Grand Cayman Island;	Grand Cayman Island
;Grand Turk Island;	Grand Turk Island
;Guatemala City;	Guatemala City
;Guernsey;	Guernsey
;Hong Kong;	Hong Kong
;Isle of Man;	Isle of Man
;Johnston Atoll;	Johnston Atoll
;Kure Island;	Kure Island
;Kuwait City;	Kuwait City
;Kwajalein Atoll;	Kwajalein Atoll
;L. Taghkanic St. Pk.;	L. Taghkanic St. Pk.
;Luxembourg City;	Luxembourg City
;Macao;	Macao
;Malta;	Malta
;Midway Island;	Midway Island
;Miquelon Is.;	Miquelon Is.
;Monaco;	Monaco
;Pagan Island;	Pagan Island
;Pitcairn Island;	Pitcairn Island
;Rota Island;	Rota Island
;Saipan Island;	Saipan Island
;Seychelles Is.;	Seychelles Is.
;Singapore;	Singapore
;St. Lucia;	St. Lucia
;Tahiti;	Tahiti
;Taora Island;	Taora Island
;Tinian Island;	Tinian Island
;Wake Island;	Wake Island
;Kabul;	Kabul
;Algiers;	Algiers
;Oran;	Oran
;Mount Erebus;	Mount Erebus
;Buenos Aires;	Buenos Aires
;Alice Springs;	Alice Springs
;Adelaide;	Adelaide
;Avalon;	Avalon
;Brisbane;	Brisbane
;Canberra;	Canberra
;Darwin;	Darwin
;Ipswich;	Ipswich
;Kings Beach;	Kings Beach
;Latham;	Latham
;Learmonth;	Learmonth
;Melbourne;	Melbourne
;New Castle;	New Castle
;Pearce;	Pearce
;Perth;	Perth
;Richmond;	Richmond
;Sale;	Sale
;Sydney;	Sydney
;Townsville;	Townsville
;Innsbruck;	Innsbruck
;Linz;	Linz
;Salzburg;	Salzburg
;Vandans;	Vandans
;Vienna;	Vienna
;Vols;	Vols
;Lajes;	Lajes
;Freeport;	Freeport
;Nassau;	Nassau
;Al Manamah;	Al Manamah
;Chittagong;	Chittagong
;Dacca;	Dacca
;Antwerp;	Antwerp
;Brussels;	Brussels
;Oostende;	Oostende
;La Paz;	La Paz
;Santa Cruz;	Santa Cruz
;Sarajevo;	Sarajevo
;Belem;	Belem
;Brasilia;	Brasilia
;Manaus;	Manaus
;Natal;	Natal
;Recife;	Recife
;Rio de Janeiro;	Rio de Janeiro
;Sao Paulo;	Sao Paulo
;Sofia;	Sofia
;Amilcar Cabral;	Amilcar Cabral
;Douala;	Douala
;Banff;AB	Banff, AB
;Calgary;AB	Calgary, AB
;Cold Lake;AB	Cold Lake, AB
;Edmonton;AB	Edmonton, AB
;Fort McMurray;AB	Fort McMurray, AB
;Jasper;AB	Jasper, AB
;Lethbridge;AB	Lethbridge, AB
;Medicine Hat;AB	Medicine Hat, AB
;Peace River;AB	Peace River, AB
;Abbotsford;BC	Abbotsford, BC
;Comox;BC	Comox, BC
;Cranbrook;BC	Cranbrook, BC
;Fort Nelson;BC	Fort Nelson, BC
;Kamloops;BC	Kamloops, BC
;Prince George;BC	Prince George, BC
;Prince Rupert;BC	Prince Rupert, BC
;Vancouver;BC	Vancouver, BC
;Victoria;BC	Victoria, BC
;Brandon;MB	Brandon, MB
;Churchill;MB	Churchill, MB
;The Pas;MB	The Pas, MB
;Winnipeg;MB	Winnipeg, MB
;Chatham;NB	Chatham, NB
;Edmundston;NB	Edmundston, NB
;Fredericton;NB	Fredericton, NB
;Moncton;NB	Moncton, NB
;St. John;NB	St. John, NB
;Gander;NL	Gander, NL
;Goose Bay;NL	Goose Bay, NL
;St. John&#39;s;NL	St. John&#39;s, NL
;Halifax;NS	Halifax, NS
;Sydney;NS	Sydney, NS
;Alert;NT	Alert, NT
;Fort McPherson;NT	Fort McPherson, NT
;Fort Simpson;NT	Fort Simpson, NT
;Inuvik;NT	Inuvik, NT
;Iqaluit;NT	Iqaluit, NT
;Yellowknife;NT	Yellowknife, NT
;Dryden;ON	Dryden, ON
;Guelph;ON	Guelph, ON
;Hamilton;ON	Hamilton, ON
;Kapuskasing;ON	Kapuskasing, ON
;Kenora;ON	Kenora, ON
;Kingston;ON	Kingston, ON
;Kitchener;ON	Kitchener, ON
;London;ON	London, ON
;Mississauga;ON	Mississauga, ON
;North Bay;ON	North Bay, ON
;Ottawa;ON	Ottawa, ON
;Scarborough;ON	Scarborough, ON
;Sioux Lookout;ON	Sioux Lookout, ON
;Sioux Narrows;ON	Sioux Narrows, ON
;St. Catherines;ON	St. Catherines, ON
;Sudbury;ON	Sudbury, ON
;Thunder Bay;ON	Thunder Bay, ON
;Timmins;ON	Timmins, ON
;Toronto;ON	Toronto, ON
;Waterloo;ON	Waterloo, ON
;Windsor;ON	Windsor, ON
;Baie-Comeau;QC	Baie-Comeau, QC
;Charlevoix;QC	Charlevoix, QC
;Chibougamau;QC	Chibougamau, QC
;Gaspe;QC	Gaspe, QC
;Laval;QC	Laval, QC
;Mont-Joli;QC	Mont-Joli, QC
;Montreal;QC	Montreal, QC
;Quebec;QC	Quebec, QC
;Sept-Iles;QC	Sept-Iles, QC
;Sherbrooke;QC	Sherbrooke, QC
;St-Hubert;QC	St-Hubert, QC
;Trois-Rivieres;QC	Trois-Rivieres, QC
;Val-d&#39;or;QC	Val-d&#39;or, QC
;Prince Albert;SK	Prince Albert, SK
;Regina;SK	Regina, SK
;Burwash;YT	Burwash, YT
;Whitehorse;YT	Whitehorse, YT
;Las Palmas;	Las Palmas
;N&#39;djamina;	N&#39;djamina
;Antofagasta;	Antofagasta
;Arica;	Arica
;Concepcion;	Concepcion
;Puerto Montt;	Puerto Montt
;Santiago;	Santiago
;Valparaiso;	Valparaiso
;Beijing;	Beijing
;Canton;	Canton
;Shanghai;	Shanghai
;Barranquilla;	Barranquilla
;Bogota;	Bogota
;San Jose;	San Jose
;Dubrovnik;	Dubrovnik
;Guantanamo Bay;	Guantanamo Bay
;Havana;	Havana
;Nicosia;	Nicosia
;Prague;	Prague
;Aalborg;	Aalborg
;Copenhagen;	Copenhagen
;Soeborg;	Soeborg
;Santo Domingo;	Santo Domingo
;Guayaquil;	Guayaquil
;Quito;	Quito
;Alexandria;	Alexandria
;Aswan;	Aswan
;Cairo;	Cairo
;San Salvador;	San Salvador
;Sandhurst, Surry;	Sandhurst, Surry
;Aldermaston;	Aldermaston
;Birmingham;	Birmingham
;Blackpool;	Blackpool
;Bristol;	Bristol
;Brize Norton;	Brize Norton
;Cambridge;	Cambridge
;Derby;	Derby
;Dover;	Dover
;Farnborough;	Farnborough
;Finningley;	Finningley
;Greenwich Obs;	Greenwich Obs
;Holmer Green;	Holmer Green
;Honington;	Honington
;Leeds;	Leeds
;Liverpool;	Liverpool
;London;	London
;Manchester;	Manchester
;Melksham;	Melksham
;Newcastle;	Newcastle
;Nottingham;	Nottingham
;Portsmouth;	Portsmouth
;Rochdale, Lanc;	Rochdale, Lanc
;Sheffield;	Sheffield
;Southampton;	Southampton
;Teignmouth;	Teignmouth
;Addis Ababa;	Addis Ababa
;Asmara;	Asmara
;Stanley;	Stanley
;Nandi;	Nandi
;Dalsbruk;	Dalsbruk
;Helsinki;	Helsinki
;Cayenne;	Cayenne
;Hao AB;	Hao AB
;Bordeaux;	Bordeaux
;Brest;	Brest
;Calais/Dunkirk;	Calais/Dunkirk
;Cannes;	Cannes
;Cherbourg;	Cherbourg
;Dijon;	Dijon
;Gaillac;	Gaillac
;Grenoble;	Grenoble
;La Rochelle;	La Rochelle
;Le Havre;	Le Havre
